Computer_Science,https://www.aau.dk/uddannelser/kandidat/computer-science-it
Computer_technology,https://www.aau.dk/uddannelser/kandidat/computer-engineering
Data_Science_and_Machine_Learning,https://www.aau.dk/uddannelser/kandidat/datavidenskab-machine-learning
Information_Technology,https://www.aau.dk/uddannelser/kandidat/informationsvidenskab
Interaction_Design,https://www.aau.dk/uddannelser/kandidat/interaktionsdesign
Software_Engineering,https://www.aau.dk/uddannelser/kandidat/software

Robotics,https://www.aau.dk/uddannelser/kandidat/robotics
Electronic_and_system_design,https://www.aau.dk/uddannelser/kandidat/electronic-systems
Cyber-_and_computer-technology,København
